regime,is_holdout,target_g,method,n_f,achieved_g,med_med_error,med_med_skill,med_valid_rate,n
log_oscillatory,0,0.1,levin_t1,50000.0,0.2992564263745022,0.140743633243805,1.7658321305832243,1.0,3
log_oscillatory,0,0.1,levin_t2,50000.0,0.2992564263745022,0.1396835076653865,1.7071172987078713,1.0,3
log_oscillatory,0,0.1,levin_u1,50000.0,0.2992564263745022,0.1407501773097976,1.7659814947269843,1.0,3
log_oscillatory,0,0.1,levin_u2,50000.0,0.2992564263745022,0.13972376191699654,1.6988038802108263,1.0,3
log_oscillatory,0,0.1,levin_v1,50000.0,0.2992564263745022,0.13617941097228112,1.6671204452199153,1.0,3
log_oscillatory,0,0.1,levin_v2,50000.0,0.2992564263745022,0.13502335342261204,1.6838320432631309,1.0,3
log_oscillatory,0,0.1,weniger_d1,50000.0,0.2992564263745022,0.11265611086107918,1.3152675839118537,1.0,3
log_oscillatory,0,0.1,weniger_d2,50000.0,0.2992564263745022,0.11265611086107918,1.3152675839118406,1.0,3
log_oscillatory,0,0.1,brezinski_theta1,50000.0,0.2992564263745022,0.1428379939316392,1.7826018424375811,1.0,3
log_oscillatory,0,0.1,brezinski_theta2,50000.0,0.2992564263745022,0.13697187358374302,1.830406479682229,1.0,3
log_oscillatory,0,0.1,neville_2,50000.0,0.2992564263745022,19.993628868099893,258.0228314966254,0.5333,3
log_oscillatory,0,0.1,neville_3,50000.0,0.2992564263745022,191.32219835953808,2392.0918504511774,0.0667,3
log_oscillatory,0,0.1,neville_4,50000.0,0.2992564263745022,,,0.0,3
log_oscillatory,0,0.1,anderson_1,50000.0,0.2992564263745022,0.14074474967059458,1.7659118340385342,1.0,3
log_oscillatory,0,0.1,anderson_2,50000.0,0.2992564263745022,0.1428396218652585,1.7605449572466505,1.0,3
log_oscillatory,0,0.1,anderson_3,50000.0,0.2992564263745022,0.14275819786279584,1.788763152687413,1.0,3
log_oscillatory,0,0.1,median_ensemble,50000.0,0.2992564263745022,0.13061137960517777,1.5751237198947137,1.0,3
log_oscillatory,0,0.1,stability_weighted,50000.0,0.2992564263745022,0.10096190780340383,1.1949244325556045,1.0,3
log_oscillatory,0,0.1,best_shanks_wynn,50000.0,0.2992564263745022,0.1407436332438044,1.7658321305832412,1.0,3
log_oscillatory,0,0.1,constant_assumed,50000.0,0.2992564263745022,0.11265611086107918,1.3152675839118406,1.0,3
log_oscillatory,0,0.1,constant_oracle,50000.0,0.2992564263745022,0.06135051046213941,0.7174470458323103,1.0,3
log_oscillatory,0,0.1,window_mean,50000.0,0.2992564263745022,0.13140172565605163,1.5363251394153945,1.0,3
log_oscillatory,0,0.1,window_min,50000.0,0.2992564263745022,0.08591322288514003,1.0,1.0,3
log_oscillatory,0,0.1,last_value,50000.0,0.2992564263745022,0.14365932409814758,1.6884123952584678,1.0,3
log_oscillatory,0,0.02,current_value,50000.0,0.2992564263745022,0.14365932409814758,1.6884123952584678,1.0,3
