regime,future_idx,method,family,method_type,true_val,curr_val,estimate,error,valid,catastrophic,beats_current,improve_ratio
single_exp,5000,brezinski_theta2,brezinski,limit,0.01,0.03049279,0.01003697,3.697e-05,1,0,1,554.251442
single_exp,5000,neville_2,neville,trajectory,0.01,0.03049279,0.01388089,0.00388089,1,0,1,5.280443
single_exp,5000,neville_3,neville,trajectory,0.01,0.03049279,0.04627688,0.03627688,1,0,0,0.5649
single_exp,5000,neville_4,neville,trajectory,0.01,0.03049279,0.03932683,0.02932683,1,0,0,0.698773
single_exp,5000,anderson_1,anderson,limit,0.01,0.03049279,0.0283546,0.0183546,1,0,1,1.116493
single_exp,5000,anderson_2,anderson,limit,0.01,0.03049279,0.02649068,0.01649068,1,0,1,1.242689
single_exp,5000,anderson_3,anderson,limit,0.01,0.03049279,0.02485635,0.01485635,1,0,1,1.379396
single_exp,5000,median_ensemble,ensemble,trajectory,0.01,0.03049279,0.00999829,1.71e-06,1,0,1,12010.269004
single_exp,5000,stability_weighted,ensemble,trajectory,0.01,0.03049279,0.00804224,0.00195776,1,0,1,10.467458
single_exp,5000,best_shanks_wynn,ensemble,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
two_exp,150,current_value,baseline,limit,0.04360276,0.10894969,0.10894969,0.06534694,1,0,0,1.0
two_exp,150,linear,baseline,trajectory,0.04360276,0.10894969,-0.09420847,0.13781122,1,0,0,0.474177
two_exp,150,log_linear,baseline,trajectory,0.04360276,0.10894969,0.07389521,0.03029246,1,0,1,2.157202
two_exp,150,geom_avg_diff,baseline,limit,0.04360276,0.10894969,0.04361299,1.024e-05,1,0,1,6383.80838
two_exp,150,richardson_1,richardson,trajectory,0.04360276,0.10894969,0.0836765,0.04007374,1,0,1,1.630667
two_exp,150,richardson_2,richardson,trajectory,0.04360276,0.10894969,0.07639114,0.03278839,1,0,1,1.99299
two_exp,150,richardson_3,richardson,trajectory,0.04360276,0.10894969,0.07639076,0.03278801,1,0,1,1.993013
two_exp,150,richardson_a05,richardson,trajectory,0.04360276,0.10894969,0.05164977,0.00804701,1,0,1,8.120648
two_exp,150,richardson_a10,richardson,trajectory,0.04360276,0.10894969,0.07938957,0.03578682,1,0,1,1.826006
two_exp,150,richardson_a20,richardson,trajectory,0.04360276,0.10894969,0.11647239,0.07286964,1,0,0,0.896765
two_exp,150,single_exp_fit,parametric,trajectory,0.04360276,0.10894969,0.04588506,0.00228231,1,0,1,28.631964
two_exp,150,double_exp_fit,parametric,trajectory,0.04360276,0.10894969,0.04360276,0.0,1,0,1,58043080.689595
two_exp,150,rational_fit,parametric,trajectory,0.04360276,0.10894969,0.07424683,0.03064407,1,0,1,2.13245
