method,family,method_type,regime,noise,future_idx,valid_rate,cat_rate,beats_rate,med_error,med_improve,stability,n_seeds
linear,baseline,trajectory,single_exp,0.001,150,1.0,1.0,0.0,0.1927593887424904,0.09695634988266064,-1.0,30
log_linear,baseline,trajectory,single_exp,0.001,150,1.0,0.0,1.0,0.005974906028012926,3.167550088893786,1.4,30
geom_avg_diff,baseline,limit,single_exp,0.001,150,0.4667,0.5667,0.2,0.023974249552688908,0.8238125916693223,-0.5867,30
richardson_1,richardson,trajectory,single_exp,0.001,150,1.0,0.0,0.0,0.02564588130494091,0.728686449696782,1.0,30
richardson_2,richardson,trajectory,single_exp,0.001,150,1.0,0.0,0.3333,0.019225730312145417,0.9718874530985742,1.1333,30
richardson_3,richardson,trajectory,single_exp,0.001,150,1.0,0.0,1.0,0.015843229393025446,1.179287426807476,1.4,30
richardson_a05,richardson,trajectory,single_exp,0.001,150,1.0,0.0,0.0,0.054487845698040764,0.34296958077047024,1.0,30
richardson_a10,richardson,trajectory,single_exp,0.001,150,1.0,0.0,0.0,0.02765149706480783,0.6771041351223265,1.0,30
richardson_a20,richardson,trajectory,single_exp,0.001,150,1.0,0.0,1.0,0.00867948884787636,2.1664631057682557,1.4,30
single_exp_fit,parametric,trajectory,single_exp,0.001,150,1.0,0.0,1.0,0.00033019013435193513,55.475580358945734,1.4,30
double_exp_fit,parametric,trajectory,single_exp,0.001,150,1.0,0.0,1.0,0.0006614133353038962,31.98271293999633,1.4,30
rational_fit,parametric,trajectory,single_exp,0.001,150,1.0,0.0,0.0,0.026709382471435946,0.6994897133583738,1.0,30
log_fit,parametric,trajectory,single_exp,0.001,150,1.0,0.0,0.0,0.06728935436808836,0.27776626128498183,1.0,30
shanks_1,shanks,limit,single_exp,0.001,150,1.0,0.0,0.5667,0.0195985787816556,1.0023337480021355,1.2267,30
shanks_2,shanks,limit,single_exp,0.001,150,1.0,0.0333,0.0667,0.020837056668071077,0.9081179948655969,0.96,30
shanks_3,shanks,limit,single_exp,0.001,150,1.0,0.0,0.1333,0.021084823808872777,0.9126794754853242,1.0533,30
shanks_4,shanks,limit,single_exp,0.001,150,1.0,0.0,0.0667,0.02229168399076301,0.8587715227089602,1.0267,30
wynn_eps_1,wynn_eps,limit,single_exp,0.001,150,1.0,0.0,0.5667,0.01959857878165562,1.0023337480021346,1.2267,30
wynn_eps_2,wynn_eps,limit,single_exp,0.001,150,1.0,0.0,0.3,0.020134430553359735,0.9350751227265788,1.12,30
wynn_eps_3,wynn_eps,limit,single_exp,0.001,150,1.0,0.0,0.3333,0.020891119754674913,0.9180064363650035,1.1333,30
wynn_rho_1,wynn_rho,limit,single_exp,0.001,150,1.0,0.0,0.1667,0.019880536627438425,0.9774247674570734,1.0667,30
wynn_rho_2,wynn_rho,limit,single_exp,0.001,150,1.0,0.0,0.5,0.01972130841300889,1.00336552954264,1.2,30
wynn_rho_3,wynn_rho,limit,single_exp,0.001,150,1.0,0.0333,0.3667,0.020678161222115223,0.9524233084497944,1.08,30
pade_11,pade,trajectory,single_exp,0.001,150,1.0,0.0,0.0,0.022675031191409227,0.8190406077982477,1.0,30
pade_12,pade,trajectory,single_exp,0.001,150,1.0,0.0,1.0,0.007827479620514246,2.447138079233026,1.4,30
pade_13,pade,trajectory,single_exp,0.001,150,1.0,0.0,1.0,0.0012569223912354596,15.070696923731479,1.4,30
pade_21,pade,trajectory,single_exp,0.001,150,1.0,0.0,0.1,0.029363440228395,0.6454763365571572,1.04,30
pade_22,pade,trajectory,single_exp,0.001,150,1.0,0.0,0.0,0.03750232069925115,0.48286468197034177,1.0,30
pade_23,pade,trajectory,single_exp,0.001,150,1.0,0.0,1.0,0.008196999723060854,2.218492853387713,1.4,30
pade_31,pade,trajectory,single_exp,0.001,150,0.1667,1.0,0.0,0.38933855779719395,0.0484581918916529,-1.8333,30
pade_32,pade,trajectory,single_exp,0.001,150,1.0,0.0,0.0667,0.03316752733488717,0.568785925788118,1.0267,30
levin_t1,levin,limit,single_exp,0.001,150,1.0,0.0,0.5667,0.01959857878165562,1.0023337480021344,1.2267,30
levin_t2,levin,limit,single_exp,0.001,150,1.0,0.0,0.3333,0.019556617272291035,0.9440905703287518,1.1333,30
levin_u1,levin,limit,single_exp,0.001,150,1.0,0.0,0.5667,0.019605495025164815,1.0021822015309985,1.2267,30
levin_u2,levin,limit,single_exp,0.001,150,1.0,0.0,0.3333,0.019537764821307396,0.9440705313117475,1.1333,30
levin_v1,levin,limit,single_exp,0.001,150,1.0,0.0,0.1333,0.020780293155879474,0.918499161669172,1.0533,30
levin_v2,levin,limit,single_exp,0.001,150,1.0,0.0,0.1667,0.02132635343057373,0.8922586330476739,1.0667,30
weniger_d1,weniger,limit,single_exp,0.001,150,1.0,0.0,1.0,0.011859064132499769,1.5767340714951812,1.4,30
weniger_d2,weniger,limit,single_exp,0.001,150,1.0,0.0,1.0,0.011859064132499769,1.5767340714951812,1.4,30
brezinski_theta1,brezinski,limit,single_exp,0.001,150,1.0,0.0,0.5667,0.019043693171323373,1.0589947105807092,1.2267,30
brezinski_theta2,brezinski,limit,single_exp,0.001,150,0.9667,0.0333,0.1667,0.02291796591076395,0.8041051176817252,0.9667,30
neville_2,neville,trajectory,single_exp,0.001,150,0.6667,0.9667,0.0,1.3743823425044597,0.01483697261851151,-1.2667,30
neville_3,neville,trajectory,single_exp,0.001,150,0.5333,1.0,0.0,31.41926278641946,0.0006678310811805479,-1.4667,30
neville_4,neville,trajectory,single_exp,0.001,150,0.3667,1.0,0.0,218.99982298115276,9.204682392364346e-05,-1.6333,30
anderson_1,anderson,limit,single_exp,0.001,150,1.0,0.0,0.5667,0.019598813146347267,1.002326567350273,1.2267,30
anderson_2,anderson,limit,single_exp,0.001,150,1.0,0.0,0.5,0.019268126222951435,1.0015129631712476,1.2,30
anderson_3,anderson,limit,single_exp,0.001,150,1.0,0.0,0.3667,0.019159076248381497,0.9881917562877025,1.1467,30
median_ensemble,ensemble,trajectory,single_exp,0.001,150,1.0,0.0,0.2667,0.02002375063723747,0.9571533671632957,1.1067,30
stability_weighted,ensemble,trajectory,single_exp,0.001,150,1.0,0.0,0.3667,0.019854647003765134,0.9701844232311532,1.1467,30
best_shanks_wynn,ensemble,limit,single_exp,0.001,150,1.0,0.0,0.5667,0.0195985787816556,1.0023337480021355,1.2267,30
current_value,baseline,limit,single_exp,0.001,1000,1.0,0.0,0.0,0.020557654606258594,1.0,1.0,30
linear,baseline,trajectory,single_exp,0.001,1000,0.0,1.0,0.0,,,-2.0,30
log_linear,baseline,trajectory,single_exp,0.001,1000,1.0,0.0,1.0,0.00010986866295792288,188.80474104835596,1.4,30
geom_avg_diff,baseline,limit,single_exp,0.001,1000,0.4667,0.6,0.2,0.02583392696679503,0.8357409323567689,-0.6533,30
richardson_1,richardson,trajectory,single_exp,0.001,1000,1.0,0.0,1.0,0.004117407298526097,4.997655015219301,1.4,30
richardson_2,richardson,trajectory,single_exp,0.001,1000,1.0,0.0,1.0,0.006507149285211415,3.1609425424243014,1.4,30
richardson_3,richardson,trajectory,single_exp,0.001,1000,1.0,0.0,1.0,0.007444162948257516,2.762522106489924,1.4,30
richardson_a05,richardson,trajectory,single_exp,0.001,1000,1.0,1.0,0.0,0.18558413504678278,0.11068770625134179,-1.0,30
richardson_a10,richardson,trajectory,single_exp,0.001,1000,1.0,0.0,0.0,0.0800444364868432,0.2567106987665648,1.0,30
richardson_a20,richardson,trajectory,single_exp,0.001,1000,1.0,0.0,1.0,0.0005139774951289948,38.43216373963874,1.4,30
single_exp_fit,parametric,trajectory,single_exp,0.001,1000,1.0,0.0,1.0,0.0003718596835175208,54.193523015725134,1.4,30
double_exp_fit,parametric,trajectory,single_exp,0.001,1000,1.0,0.0,1.0,0.0007258791941830512,31.62550791022567,1.4,30
rational_fit,parametric,trajectory,single_exp,0.001,1000,1.0,0.0,1.0,0.004118322972191471,4.996154361232152,1.4,30
log_fit,parametric,trajectory,single_exp,0.001,1000,1.0,0.0,0.0,0.04759454034500683,0.43182713236940284,1.0,30
shanks_1,shanks,limit,single_exp,0.001,1000,1.0,0.0,0.5667,0.02145764291415537,1.002124324614752,1.2267,30
shanks_2,shanks,limit,single_exp,0.001,1000,1.0,0.0333,0.0667,0.022696120800570846,0.9159530106782111,0.96,30
shanks_3,shanks,limit,single_exp,0.001,1000,1.0,0.0,0.1333,0.022943887941372546,0.9197391548283068,1.0533,30
shanks_4,shanks,limit,single_exp,0.001,1000,1.0,0.0,0.0667,0.024150748123262778,0.8695466812562205,1.0267,30
wynn_eps_1,wynn_eps,limit,single_exp,0.001,1000,1.0,0.0,0.5667,0.02145764291415539,1.002124324614751,1.2267,30
wynn_eps_2,wynn_eps,limit,single_exp,0.001,1000,1.0,0.0,0.3,0.021993494685859503,0.9405727815139253,1.12,30
wynn_eps_3,wynn_eps,limit,single_exp,0.001,1000,1.0,0.0,0.3333,0.02275018388717468,0.9248963815019182,1.1333,30
