method,family,method_type,is_trivial,is_oracle,regime_set,target_g,valid_rate,cat_rate,beats_rate,med_error,med_improve,med_skill,stability,n_regimes,n_cells,n_capped_excluded,rank,rank_eligible
anderson_1,anderson,limit,0,0,core,0.1,1.0,0.0139,0.6132,0.10385789858293187,1.0004418704793414,1.5732183529554955,1.2175,16,48,6,45.0,1
richardson_a20,richardson,trajectory,0,0,core,0.1,1.0,0.0042,0.7194,0.1112885701716601,1.040938443270302,1.4773719608770277,1.2794,16,48,6,46.0,1
window_mean,trivial,limit,1,0,core,0.1,1.0,0.0146,0.1576,0.1462649129483456,0.7007279625310423,2.7325498065706304,1.0339,16,48,6,47.0,1
pade_32,pade,trajectory,0,0,core,0.1,0.6875,0.5819,0.2576,0.25740683975128986,0.3728554926415738,5.547458859489219,-0.3733,16,48,6,,0
linear,baseline,trajectory,0,0,core,0.1,0.4438,0.7646,0.0639,0.30567924491095194,0.2157907538353365,6.048078615996712,-1.0599,16,48,6,,0
pade_21,pade,trajectory,0,0,core,0.1,0.6021,0.6049,0.1542,0.3363963024795224,0.348683734801546,5.160831607359453,-0.546,16,48,6,,0
pade_31,pade,trajectory,0,0,core,0.1,0.8674,0.7729,0.1146,1.9534675617057702,0.04135292577432423,31.176385054480768,-0.6326,16,48,6,,0
neville_2,neville,trajectory,0,0,core,0.1,0.6611,0.7194,0.2306,4.526901205523439,0.013894250656994069,192.49867984372247,-0.6855,16,48,6,,0
neville_4,neville,trajectory,0,0,core,0.1,0.3354,0.75,0.2292,96.06736447122373,0.06969921386054821,1742.4755398870004,-1.0729,16,48,6,,0
neville_3,neville,trajectory,0,0,core,0.1,0.4799,0.7708,0.2292,111.07983725263524,0.0007844912986197006,3262.8665893374337,-0.9701,16,48,6,,0
log_linear,baseline,trajectory,0,0,core,0.5,0.9821,0.0907,0.8247,0.011055654441953285,3.0025784725846494,0.36167347038965497,1.1305,18,54,0,1.0,1
richardson_3,richardson,trajectory,0,0,core,0.5,0.9821,0.0716,0.7926,0.011560619880181427,2.716974794372633,0.4641749159015752,1.1559,18,54,0,2.0,1
pade_11,pade,trajectory,0,0,core,0.5,0.9914,0.113,0.7759,0.013150919527445815,2.395340233935711,0.4691178648880161,1.0758,18,54,0,3.0,1
pade_22,pade,trajectory,0,0,core,0.5,0.9481,0.1525,0.7,0.013839841724591618,2.570816045428028,0.5408863665454194,0.9232,18,54,0,4.0,1
richardson_2,richardson,trajectory,0,0,core,0.5,0.9932,0.0747,0.7932,0.015487878886171758,2.752162005313625,0.44363710830006375,1.1611,18,54,0,5.0,1
rational_fit,parametric,trajectory,0,0,core,0.5,1.0,0.0123,0.8488,0.015907627676839963,3.1687256821843133,0.49467717714579,1.3148,18,54,0,6.0,1
double_exp_fit,parametric,trajectory,0,0,core,0.5,0.9815,0.0241,0.8784,0.016459929520619213,3.102412958030917,0.4472510548649088,1.2847,18,54,0,7.0,1
richardson_a05,richardson,trajectory,0,0,core,0.5,1.0,0.0105,0.8074,0.01907061890662049,3.7190643747735272,0.3472589737798385,1.302,18,54,0,8.0,1
single_exp_fit,parametric,trajectory,0,0,core,0.5,1.0,0.0049,0.9025,0.02071989308188081,2.1947136407092196,0.629484647601093,1.3511,18,54,0,9.0,1
pade_23,pade,trajectory,0,0,core,0.5,0.9802,0.1191,0.6037,0.02113373753478824,1.6961808229860176,0.6933268646825504,0.9835,18,54,0,10.0,1
pade_12,pade,trajectory,0,0,core,0.5,0.963,0.1302,0.6111,0.02140252006945479,1.5209380162341053,0.832631309654519,0.9469,18,54,0,11.0,1
richardson_1,richardson,trajectory,0,0,core,0.5,1.0,0.0296,0.7833,0.021775651597563228,3.122124013757256,0.45583700896954266,1.2541,18,54,0,12.0,1
geom_avg_diff,baseline,limit,0,0,core,0.5,0.5778,0.4562,0.3914,0.030149119307010867,0.9866343885458658,1.0428507559525217,-0.178,18,54,0,,0
