regime,is_holdout,target_g,n_f,achieved_g,capped,best_by_skill,best_skill,family,method_type,skill_best_med_error,skill_best_valid_rate,skill_best_cat_rate,best_by_stability,stab_best_stability,stab_best_med_error,oracle_med_error
log_oscillatory,0,0.02,50000.0,0.2992564263745022,1,richardson_1,0.2675844332201284,richardson,trajectory,0.022569916602368373,1.0,0.0,richardson_1,1.4,0.022569916602368373,0.06135051046213941
heavy_noise_plat,0,0.5,97.0,0.49658530379140886,0,window_mean,1.0,trivial,limit,0.0008326876072723144,1.0,0.0444,window_mean,1.2533,0.0008326876072723144,3.0641747526607976e-06
heavy_noise_plat,0,0.1,114.0,0.09071795328941246,0,window_mean,1.0,trivial,limit,0.0008326876072723144,1.0,0.0444,window_mean,1.2533,0.0008326876072723144,5.59774242127678e-07
heavy_noise_plat,0,0.02,130.0,0.01831563888873418,0,window_mean,1.0,trivial,limit,0.0008326876072723179,1.0,0.0444,window_mean,1.2533,0.0008326876072723179,1.1301647034889228e-07
broken_power_law,0,0.5,514.0,0.49991211917454004,0,neville_4,0.2395955940035364,neville,trajectory,0.004857394345688236,0.3333,0.6667,pade_11,1.4,0.009140478545893602,0.0658213969710826
broken_power_law,0,0.1,28776.0,0.09999962012267244,0,window_min,1.0,trivial,limit,0.00633322541979511,1.0,0.0,window_min,1.4,0.00633322541979511,0.013166543559536696
broken_power_law,0,0.02,50000.0,0.0801724362309424,1,window_min,1.0,trivial,limit,0.008943790140472675,1.0,0.0,window_min,1.4,0.008943790140472675,0.010555978838859122
stretched_exp,1,0.5,193.0,0.49828241532615414,0,pade_11,0.04374352271831232,pade,trajectory,0.0034279098690778095,1.0,0.0,pade_11,1.4,0.0034279098690778095,0.07782728459160983
stretched_exp,1,0.1,579.0,0.09979846505939677,0,neville_4,0.059563327171108,neville,trajectory,0.004192133451657738,0.3333,0.6667,rational_fit,1.4,0.0074428514361496445,0.015587633243889471
stretched_exp,1,0.02,1172.0,0.01998151982994824,0,rational_fit,0.04702836149473702,parametric,trajectory,0.0032397730245201373,1.0,0.0,rational_fit,1.4,0.0032397730245201373,0.0031209358037657658
logistic_tail,1,0.5,105.0,0.47748855939048196,0,pade_13,0.14101938949584475,pade,trajectory,0.007217285304693323,1.0,0.0333,richardson_a05,1.4,0.03909831798062108,0.04551490801274613
logistic_tail,1,0.1,135.0,0.09609894819901184,0,richardson_a05,0.12303245396483532,richardson,trajectory,0.006495510171431785,1.0,0.0,richardson_a05,1.4,0.006495510171431785,0.009160292328224663
logistic_tail,1,0.02,164.0,0.019425008840604784,0,double_exp_fit,0.4817982044656326,parametric,trajectory,0.015910448597109467,1.0,0.0,richardson_a05,1.4,0.033944321442707565,0.0018516202600864506
inv_sqrt_log,1,0.5,245.0,0.4997783934707863,0,richardson_1,0.09559934782607935,richardson,trajectory,0.0009267656853940431,1.0,0.0222,richardson_a10,1.3911,0.0025893581019446835,0.010409808246233367
inv_sqrt_log,1,0.1,2929.0,0.09999046875803731,0,neville_4,0.08410485054785222,neville,trajectory,0.001576643099005048,0.3333,0.6667,richardson_a10,1.4,0.006560753486525531,0.002082686286202966
