regime,is_holdout,obs_idx,target_g,method,n_f,achieved_g,med_error,med_skill,n
broken_power_law,0,30,0.02,richardson_a10,50000.0,0.2901576654864911,0.02899441429406535,1.3876102003378454,60
broken_power_law,0,30,0.02,single_exp_fit,50000.0,0.2901576654864911,0.03951929118251976,1.893339564442741,60
broken_power_law,0,30,0.02,rational_fit,50000.0,0.2901576654864911,0.003992749995370928,0.20619323885953852,60
broken_power_law,0,30,0.02,pade_22,50000.0,0.2901576654864911,0.00874554148745689,0.38969563480624075,60
broken_power_law,0,30,0.02,log_linear,50000.0,0.2901576654864911,0.04814198128552635,2.825381028701648,60
broken_power_law,0,30,0.02,levin_t2,50000.0,0.2901576654864911,0.02055309047701461,1.188886414603838,60
broken_power_law,0,30,0.02,anderson_1,50000.0,0.2901576654864911,0.022158858379973022,1.173948098819337,60
broken_power_law,0,30,0.02,constant_assumed,50000.0,0.2901576654864911,0.049361440175231835,2.932371203655815,60
broken_power_law,0,30,0.02,last_value,50000.0,0.2901576654864911,0.025824169247735472,1.1332301758269232,60
broken_power_law,0,30,0.02,window_mean,50000.0,0.2901576654864911,0.08783924640398781,4.20097679236569,60
broken_power_law,0,30,0.02,window_min,50000.0,0.2901576654864911,0.022454608657944432,1.0,60
random_knots,1,30,0.02,current_value,50000.0,0.029564597421905994,0.16469083085302066,4.757618617930608,21
random_knots,1,30,0.02,richardson_1,50000.0,0.029564597421905994,0.009479392388332453,0.48885396723420715,21
random_knots,1,30,0.02,richardson_a10,50000.0,0.029564597421905994,0.18660927390301318,5.6726761058579305,21
random_knots,1,30,0.02,single_exp_fit,50000.0,0.029564597421905994,0.1701422960323391,5.174372022046492,21
random_knots,1,30,0.02,rational_fit,50000.0,0.029564597421905994,0.10849962757560877,3.629867741424782,21
random_knots,1,30,0.02,pade_22,50000.0,0.029564597421905994,0.06241201535234489,2.123983237736748,21
random_knots,1,30,0.02,log_linear,50000.0,0.029564597421905994,0.00642802523280904,0.29306002498288863,21
random_knots,1,30,0.02,levin_t2,50000.0,0.029564597421905994,0.1384106016426171,4.080001982337287,21
random_knots,1,30,0.02,anderson_1,50000.0,0.029564597421905994,0.14622102839942314,4.819448577438965,21
random_knots,1,30,0.02,constant_assumed,50000.0,0.029564597421905994,0.03652409952680502,1.0,21
random_knots,1,30,0.02,last_value,50000.0,0.029564597421905994,0.16469083085302066,4.757618617930608,21
random_knots,1,30,0.02,window_mean,50000.0,0.029564597421905994,0.24162357289011405,8.425006820231097,21
random_knots,1,30,0.02,window_min,50000.0,0.029564597421905994,0.15835292088942224,4.757618617930608,21
log_slow,0,60,0.1,current_value,50000.0,0.38250619171060757,0.11936131124246735,1.2666472289530042,60
log_slow,0,60,0.1,richardson_1,50000.0,0.38250619171060757,0.03344106530146766,0.2966104819216284,60
log_slow,0,60,0.1,richardson_a10,50000.0,0.38250619171060757,0.14481662651958344,1.5537195963680595,60
log_slow,0,60,0.1,single_exp_fit,50000.0,0.38250619171060757,0.13611006112951662,1.4233727355956112,60
log_slow,0,60,0.1,rational_fit,50000.0,0.38250619171060757,0.09352999666357686,0.9558151710590945,60
log_slow,0,60,0.1,pade_22,50000.0,0.38250619171060757,0.05654556390818996,0.5635982052110247,60
log_slow,0,60,0.1,log_linear,50000.0,0.38250619171060757,0.0663364843812814,0.6694740837099203,60
log_slow,0,60,0.1,levin_t2,50000.0,0.38250619171060757,0.11715617421184907,1.0926413577164729,60
log_slow,0,60,0.1,anderson_1,50000.0,0.38250619171060757,0.11835277371890704,1.2333014193118819,60
log_slow,0,60,0.1,constant_assumed,50000.0,0.38250619171060757,0.10275805732146302,1.0886577413728165,60
log_slow,0,60,0.1,last_value,50000.0,0.38250619171060757,0.11936131124246735,1.2666472289530042,60
log_slow,0,60,0.1,window_mean,50000.0,0.38250619171060757,0.18447709990191447,1.9594127639820507,60
log_slow,0,60,0.1,window_min,50000.0,0.38250619171060757,0.11622105869780998,1.0,60
log_slow,0,60,0.02,current_value,50000.0,0.38250619171060757,0.11936131124246735,1.2666472289530042,60
log_slow,0,60,0.02,richardson_1,50000.0,0.38250619171060757,0.03344106530146766,0.2966104819216284,60
log_slow,0,60,0.02,richardson_a10,50000.0,0.38250619171060757,0.14481662651958344,1.5537195963680595,60
log_slow,0,60,0.02,single_exp_fit,50000.0,0.38250619171060757,0.13611006112951662,1.4233727355956112,60
log_slow,0,60,0.02,rational_fit,50000.0,0.38250619171060757,0.09352999666357686,0.9558151710590945,60
log_slow,0,60,0.02,pade_22,50000.0,0.38250619171060757,0.05654556390818996,0.5635982052110247,60
log_slow,0,60,0.02,log_linear,50000.0,0.38250619171060757,0.0663364843812814,0.6694740837099203,60
log_slow,0,60,0.02,levin_t2,50000.0,0.38250619171060757,0.11715617421184907,1.0926413577164729,60
log_slow,0,60,0.02,anderson_1,50000.0,0.38250619171060757,0.11835277371890704,1.2333014193118819,60
log_slow,0,60,0.02,constant_assumed,50000.0,0.38250619171060757,0.10275805732146302,1.0886577413728165,60
log_slow,0,60,0.02,last_value,50000.0,0.38250619171060757,0.11936131124246735,1.2666472289530042,60
log_slow,0,60,0.02,window_mean,50000.0,0.38250619171060757,0.18447709990191447,1.9594127639820507,60
log_slow,0,60,0.02,window_min,50000.0,0.38250619171060757,0.11622105869780998,1.0,60
log_oscillatory,0,60,0.1,current_value,50000.0,0.29321751930860546,0.14788156614365594,1.5521195096230134,60
log_oscillatory,0,60,0.1,richardson_1,50000.0,0.29321751930860546,0.07264497388201721,0.6559290849893359,60
log_oscillatory,0,60,0.1,richardson_a10,50000.0,0.29321751930860546,0.16647210176238667,1.7562757002848643,60
log_oscillatory,0,60,0.1,single_exp_fit,50000.0,0.29321751930860546,0.14528743699674562,1.5627552993127873,60
log_oscillatory,0,60,0.1,rational_fit,50000.0,0.29321751930860546,0.08629160544988784,0.9455025659701612,60
