regime,obs_idx,noise,future_idx,richardson_stability,richardson_rank,best_method,best_stability,stability_margin,richardson_wins
log_slow,60,0.02,5000,1.4,2,log_linear,1.4,0.0,0
log_slow,70,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,70,0.003,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,70,0.005,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,70,0.01,5000,1.4,2,log_linear,1.4,0.0,0
log_slow,70,0.02,5000,1.4,2,log_linear,1.4,0.0,0
log_slow,80,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,80,0.003,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,80,0.005,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,80,0.01,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,80,0.02,5000,1.36,3,log_linear,1.38,0.02,0
log_slow,90,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,90,0.003,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,90,0.005,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,90,0.01,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,90,0.02,5000,1.38,2,log_linear,1.4,0.02,0
log_slow,100,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,100,0.003,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,100,0.005,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,100,0.01,5000,1.4,2,log_linear,1.4,0.0,0
log_slow,100,0.02,5000,1.38,2,log_linear,1.4,0.02,0
log_slow,110,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,110,0.003,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,110,0.005,5000,1.4,3,log_linear,1.4,0.0,0
log_slow,110,0.01,5000,1.4,3,log_linear,1.4,0.0,0
log_slow,110,0.02,5000,1.4,2,log_linear,1.4,0.0,0
log_slow,120,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,120,0.003,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,120,0.005,5000,1.4,3,log_linear,1.4,0.0,0
log_slow,120,0.01,5000,1.4,2,log_linear,1.4,0.0,0
log_slow,120,0.02,5000,1.38,3,log_linear,1.38,0.0,0
log_slow,130,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,130,0.003,5000,1.4,3,log_linear,1.4,0.0,0
log_slow,130,0.005,5000,1.4,3,log_linear,1.4,0.0,0
log_slow,130,0.01,5000,1.4,2,log_linear,1.4,0.0,0
log_slow,130,0.02,5000,1.34,3,log_linear,1.36,0.02,0
log_slow,140,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,140,0.003,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,140,0.005,5000,1.4,3,log_linear,1.4,0.0,0
log_slow,140,0.01,5000,1.4,3,log_linear,1.4,0.0,0
log_slow,140,0.02,5000,1.34,3,richardson_a10,1.4,0.06,0
mixed_pow_rat,20,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,20,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,20,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,20,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,20,0.02,5000,1.4,4,log_linear,1.4,0.0,0
mixed_pow_rat,30,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,30,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,30,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,30,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,30,0.02,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,40,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,40,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,40,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,40,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,40,0.02,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,50,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,50,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,50,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,50,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,50,0.02,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,60,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,60,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,60,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,60,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,60,0.02,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,70,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,70,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,70,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,70,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,70,0.02,5000,1.4,4,log_linear,1.4,0.0,0
mixed_pow_rat,80,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,80,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,80,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,80,0.01,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,80,0.02,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,90,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
mixed_pow_rat,90,0.003,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,90,0.005,5000,1.4,5,log_linear,1.4,0.0,0
mixed_pow_rat,90,0.01,5000,1.4,5,log_linear,1.4,0.0,0
