regime,obs_idx,noise,seed,L_true,L_hat,log_log_slope,curvature_idx,oscillation_idx,noise_var,richardson_r2,diff_ratio_cv
delayed_plateau,20,0.0,7,0.2838906996715161,0.0,-0.07343580969917313,0.005373067519247248,0.0,5.009426740176265e-07,0.9635923009476423,0.004811351842954766
staircase,20,0.0,7,0.01050063293009904,0.0,-0.016608904543457953,0.055555555555555185,0.0,0.001180555555555554,-0.326050727899422,0.04767186260022579
noisy_plateau,20,0.0,7,0.07277273527263799,0.0,-0.030714683170281337,0.468708067629304,0.8333333333333334,3.9722552361369714e-05,0.1733048901790315,0.04104611554699429
slow_osc_power,20,0.0,7,0.43329896613812685,0.0,-0.1713852650416882,0.020156443065731777,0.0,0.0002099334814302276,0.946898190511241,0.039769194356252056
log_oscillatory,20,0.0,7,0.1745914787888829,0.0,-0.19476557522178803,0.010896761553033669,0.0,6.943344411443536e-05,0.973394487560994,0.020503355873276393
heavy_noise_plat,20,0.0,7,0.04669804946369446,0.0,-0.23102167581846567,0.1664160674965552,0.5,0.00010720874803360388,0.8351006371498669,0.07595729588048136
broken_power_law,20,0.0,7,0.014832676788509325,0.0,-0.6580912561783403,0.018971191129169434,0.0,0.00022443256406607583,0.9948141815077461,0.07521945813880937
single_exp,20,0.0,8,0.42177075445062107,0.0,-0.14840994725958953,0.0021002632892353403,0.0,2.771044463443848e-08,0.8856643413505608,0.0021625388897103057
two_exp,20,0.0,8,0.1468550907250357,0.0,-0.1896843663108631,0.004892909961084995,0.0,1.334445934087626e-06,0.9394503757278426,0.009111922952352556
three_exp,20,0.0,8,0.1222137544997588,0.0,-0.21013317929223416,0.0067697518114545685,0.0,5.266794307319176e-06,0.9631273624463825,0.014207905948887038
four_exp,20,0.0,8,0.05848832527023535,0.0,-0.19019457156060582,0.00711255789411609,0.0,5.048432298922616e-06,0.9651085730854463,0.013225215902620184
power_law,20,0.0,8,0.005275050052974141,0.0,-0.5575077998320197,0.01654626755616021,0.0,0.00016593882066323165,0.9920018858137328,0.0599706962360686
rational_decay,20,0.0,8,0.01613469676152103,0.0,-0.1939449531209076,0.003145489987595254,0.0,2.151110914399851e-07,0.9010425772367632,0.0045804374257597275
mixed_pow_rat,20,0.0,8,0.018701852737193367,0.0,-0.21455432777339073,0.01055029779012154,0.0,2.5484806864204074e-05,0.9845636843858282,0.0208760960936426
multiphase,20,0.0,8,0.014756214096762922,0.0,-0.22089728136690945,0.0030273671576937643,0.0,9.63088714411151e-08,0.8920416359241147,0.004445879502895651
osc_exp,20,0.0,8,0.36782373473922414,0.0,-0.1925303147633641,0.004937059254212842,0.0,3.2452606463441006e-06,0.8948612098277536,0.010609228502317783
damped_osc_pow,20,0.0,8,0.010546365308150299,0.0,-0.49508258518649534,0.01533953533761126,0.0,0.0001972310547776484,0.9910119195561938,0.05247861647029966
log_slow,20,0.0,8,0.48866449339940177,0.0,-0.13052054875902014,0.014128222779714615,0.0,7.853331387767375e-05,0.997651203457329,0.0207620224068374
delayed_plateau,20,0.0,8,0.06507276460859841,0.0,-0.0983369268532375,0.005373067519247177,0.0,5.009426740176087e-07,0.9594760643730631,0.006138723124675294
staircase,20,0.0,8,0.025107993975973516,0.0,-0.016232327958115116,0.055555555555555185,0.0,0.001180555555555554,-0.3488878127253443,0.0467009378413701
noisy_plateau,20,0.0,8,0.03463941579736647,0.0,-0.0650368004428945,0.3506193285116271,0.6111111111111112,4.8939655133609675e-05,0.36199304640861196,0.09791564222929044
slow_osc_power,20,0.0,8,0.008657391822429554,0.0,-0.5393926298709009,0.020156443065731795,0.0,0.00020993348143022756,0.9907625301396414,0.08602619616785918
log_oscillatory,20,0.0,8,0.02733938755560343,0.0,-0.2611738625837682,0.010896761553033714,0.0,6.943344411443542e-05,0.965719478822942,0.024520962155701317
heavy_noise_plat,20,0.0,8,0.021736337340296428,0.0,-0.3661441459769601,0.2534479126982531,0.5555555555555556,0.00030534191118162385,0.7536683150225245,0.3019111457807008
broken_power_law,20,0.0,8,0.01270218464988289,0.0,-0.6681535639762971,0.018971191129169434,0.0,0.00022443256406607583,0.9943939386430217,0.07544327549110777
single_exp,20,0.0,9,0.00511699595378514,0.0,-0.26844173319583864,0.0021002632892353403,0.0,2.771044463443845e-08,0.8566441682573418,9.07600349463983e-05
two_exp,20,0.0,9,0.4707743209259525,0.0,-0.12709145772555078,0.004892909961084978,0.0,1.334445934087592e-06,0.9510530793966452,0.007039343896505826
three_exp,20,0.0,9,0.23459479579756357,0.0,-0.1769244623796974,0.006769751811454568,0.0,5.266794307319173e-06,0.9680417883844893,0.012706646086752921
four_exp,20,0.0,9,0.3298299874047713,0.0,-0.12309756306234328,0.007112557894116103,0.0,5.04843229892262e-06,0.9746819071553913,0.009704755552230089
power_law,20,0.0,9,0.009364088810467281,0.0,-0.5460582278058533,0.016546267556160208,0.0,0.00016593882066323138,0.9926536735789346,0.05963104121302088
rational_decay,20,0.0,9,0.3293562154233517,0.0,-0.12799542108866133,0.0031454899875952825,0.0,2.1511109143999705e-07,0.9159714037555468,0.003991416928566593
mixed_pow_rat,20,0.0,9,0.09280649601426424,0.0,-0.18275256733367296,0.01055029779012155,0.0,2.5484806864204053e-05,0.9876852853033508,0.01875011097017628
multiphase,20,0.0,9,0.11187834572455908,0.0,-0.18764852994603318,0.003027367157693755,0.0,9.630887144111807e-08,0.8996423814746458,0.00447611490026108
