regime,obs_idx,target_g,method,n_f,achieved_g,med_med_error,med_med_skill,n
log_oscillatory,30,0.1,current_value,50000.0,0.3324862235710625,0.1219459175408124,1.0930112972186283,5
log_oscillatory,30,0.1,richardson_1,50000.0,0.3324862235710625,0.08029048253655005,0.6803126632564761,5
log_oscillatory,30,0.1,richardson_a10,50000.0,0.3324862235710625,0.20377697209897,1.7689487679813278,5
log_oscillatory,30,0.1,single_exp_fit,50000.0,0.3324862235710625,0.05052560474945583,0.43872715751824953,5
log_oscillatory,30,0.1,rational_fit,50000.0,0.3324862235710625,0.10488216652656404,0.9977106015316999,5
log_oscillatory,30,0.1,pade_22,50000.0,0.3324862235710625,0.09894261127463022,0.9853628874166331,5
log_oscillatory,30,0.1,log_linear,50000.0,0.3324862235710625,0.09278607330371472,0.7926325512543442,5
log_oscillatory,30,0.1,weniger_d2,50000.0,0.3324862235710625,0.11757721977593429,1.0000000000003797,5
log_oscillatory,30,0.1,anderson_1,50000.0,0.3324862235710625,0.126050314558144,1.0790602693798166,5
log_oscillatory,30,0.1,constant_assumed,50000.0,0.3324862235710625,0.11757721977593429,1.0,5
log_oscillatory,30,0.1,constant_oracle,50000.0,0.3324862235710625,0.06135051046213941,0.5331031396911471,5
log_oscillatory,30,0.02,current_value,50000.0,0.3324862235710625,0.1219459175408124,1.0930112972186283,5
log_oscillatory,30,0.02,richardson_1,50000.0,0.3324862235710625,0.08029048253655005,0.6803126632564761,5
log_oscillatory,30,0.02,richardson_a10,50000.0,0.3324862235710625,0.20377697209897,1.7689487679813278,5
log_oscillatory,30,0.02,single_exp_fit,50000.0,0.3324862235710625,0.05052560474945583,0.43872715751824953,5
log_oscillatory,30,0.02,rational_fit,50000.0,0.3324862235710625,0.10488216652656404,0.9977106015316999,5
log_oscillatory,30,0.02,pade_22,50000.0,0.3324862235710625,0.09894261127463022,0.9853628874166331,5
log_oscillatory,30,0.02,log_linear,50000.0,0.3324862235710625,0.09278607330371472,0.7926325512543442,5
log_oscillatory,30,0.02,weniger_d2,50000.0,0.3324862235710625,0.11757721977593429,1.0000000000003797,5
log_oscillatory,30,0.02,anderson_1,50000.0,0.3324862235710625,0.126050314558144,1.0790602693798166,5
log_oscillatory,30,0.02,constant_assumed,50000.0,0.3324862235710625,0.11757721977593429,1.0,5
