selector,regime,obs_idx,noise,target_g,n_f,achieved_g,chosen_method,achieved_stability
fixed_current,log_oscillatory,40,0.003,0.1,50000.0,0.3049784955005034,current_value,1.0
fixed_current,log_oscillatory,40,0.005,0.02,50000.0,0.3049784955005034,current_value,1.0
fixed_current,log_oscillatory,40,0.005,0.1,50000.0,0.3049784955005034,current_value,1.0
fixed_current,log_oscillatory,40,0.01,0.02,50000.0,0.3049784955005034,current_value,1.0
fixed_current,log_oscillatory,40,0.01,0.1,50000.0,0.3049784955005034,current_value,1.0
fixed_current,log_oscillatory,40,0.02,0.02,50000.0,0.3049784955005034,current_value,1.0
fixed_current,log_oscillatory,40,0.02,0.1,50000.0,0.3049784955005034,current_value,1.0
fixed_current,log_oscillatory,50,0.0,0.02,50000.0,0.2560336623945213,current_value,1.0
fixed_current,log_oscillatory,50,0.0,0.1,50000.0,0.2560336623945213,current_value,1.0
fixed_current,log_oscillatory,50,0.003,0.02,50000.0,0.2560336623945213,current_value,1.0
fixed_current,log_oscillatory,50,0.003,0.1,50000.0,0.2560336623945213,current_value,1.0
fixed_current,log_oscillatory,50,0.005,0.02,50000.0,0.2560336623945213,current_value,1.0
fixed_current,log_oscillatory,50,0.005,0.1,50000.0,0.2560336623945213,current_value,1.0
fixed_current,log_oscillatory,50,0.01,0.02,50000.0,0.2560336623945213,current_value,1.0
fixed_current,log_oscillatory,50,0.01,0.1,50000.0,0.2560336623945213,current_value,1.0
fixed_current,log_oscillatory,50,0.02,0.02,50000.0,0.2560336623945213,current_value,1.0
fixed_current,log_oscillatory,50,0.02,0.1,50000.0,0.2560336623945213,current_value,1.0
fixed_current,log_oscillatory,60,0.0,0.02,50000.0,0.2932175193086054,current_value,1.0
fixed_current,log_oscillatory,60,0.0,0.1,50000.0,0.2932175193086054,current_value,1.0
fixed_current,log_oscillatory,60,0.003,0.02,50000.0,0.2932175193086054,current_value,1.0
fixed_current,log_oscillatory,60,0.003,0.1,50000.0,0.2932175193086054,current_value,1.0
fixed_current,log_oscillatory,60,0.005,0.02,50000.0,0.2932175193086054,current_value,1.0
fixed_current,log_oscillatory,60,0.005,0.1,50000.0,0.2932175193086054,current_value,1.0
fixed_current,log_oscillatory,60,0.01,0.02,50000.0,0.2932175193086054,current_value,1.0
fixed_current,log_oscillatory,60,0.01,0.1,50000.0,0.2932175193086054,current_value,1.0
fixed_current,log_oscillatory,60,0.02,0.02,50000.0,0.2932175193086054,current_value,1.0
fixed_current,log_oscillatory,60,0.02,0.1,50000.0,0.2932175193086054,current_value,1.0
fixed_current,log_oscillatory,70,0.0,0.02,50000.0,0.3989157148287635,current_value,1.0
fixed_current,log_oscillatory,70,0.0,0.1,50000.0,0.3989157148287635,current_value,1.0
fixed_current,log_oscillatory,70,0.003,0.02,50000.0,0.3989157148287635,current_value,1.0
fixed_current,log_oscillatory,70,0.003,0.1,50000.0,0.3989157148287635,current_value,1.0
fixed_current,log_oscillatory,70,0.005,0.02,50000.0,0.3989157148287635,current_value,1.0
fixed_current,log_oscillatory,70,0.005,0.1,50000.0,0.3989157148287635,current_value,1.0
fixed_current,log_oscillatory,70,0.01,0.02,50000.0,0.3989157148287635,current_value,1.0
fixed_current,log_oscillatory,70,0.01,0.1,50000.0,0.3989157148287635,current_value,1.0
fixed_current,log_oscillatory,70,0.02,0.02,50000.0,0.3989157148287635,current_value,1.0
fixed_current,log_oscillatory,70,0.02,0.1,50000.0,0.3989157148287635,current_value,1.0
fixed_current,log_oscillatory,80,0.0,0.02,50000.0,0.3793183076854851,current_value,1.0
fixed_current,log_oscillatory,80,0.0,0.1,50000.0,0.3793183076854851,current_value,1.0
fixed_current,log_oscillatory,80,0.003,0.02,50000.0,0.3793183076854851,current_value,1.0
fixed_current,log_oscillatory,80,0.003,0.1,50000.0,0.3793183076854851,current_value,1.0
fixed_current,log_oscillatory,80,0.005,0.02,50000.0,0.3793183076854851,current_value,1.0
fixed_current,log_oscillatory,80,0.005,0.1,50000.0,0.3793183076854851,current_value,1.0
fixed_current,log_oscillatory,80,0.01,0.02,50000.0,0.3793183076854851,current_value,1.0
fixed_current,log_oscillatory,80,0.01,0.1,50000.0,0.3793183076854851,current_value,1.0
fixed_current,log_oscillatory,80,0.02,0.02,50000.0,0.3793183076854851,current_value,1.0
fixed_current,log_oscillatory,80,0.02,0.1,50000.0,0.3793183076854851,current_value,1.0
fixed_current,log_oscillatory,90,0.0,0.02,50000.0,0.2992564263745022,current_value,1.0
fixed_current,log_oscillatory,90,0.0,0.1,50000.0,0.2992564263745022,current_value,1.0
fixed_current,log_oscillatory,90,0.003,0.02,50000.0,0.2992564263745022,current_value,1.0
fixed_current,log_oscillatory,90,0.003,0.1,50000.0,0.2992564263745022,current_value,1.0
fixed_current,log_oscillatory,90,0.005,0.02,50000.0,0.2992564263745022,current_value,1.0
fixed_current,log_oscillatory,90,0.005,0.1,50000.0,0.2992564263745022,current_value,1.0
fixed_current,log_oscillatory,90,0.01,0.02,50000.0,0.2992564263745022,current_value,1.0
fixed_current,log_oscillatory,90,0.01,0.1,50000.0,0.2992564263745022,current_value,1.0
fixed_current,log_oscillatory,90,0.02,0.02,50000.0,0.2992564263745022,current_value,1.0
fixed_current,log_oscillatory,90,0.02,0.1,50000.0,0.2992564263745022,current_value,1.0
fixed_current,log_oscillatory,100,0.0,0.02,50000.0,0.3143368155863907,current_value,1.0
fixed_current,log_oscillatory,100,0.0,0.1,50000.0,0.3143368155863907,current_value,1.0
fixed_current,log_oscillatory,100,0.003,0.02,50000.0,0.3143368155863907,current_value,1.0
fixed_current,log_oscillatory,100,0.003,0.1,50000.0,0.3143368155863907,current_value,1.0
fixed_current,log_oscillatory,100,0.005,0.02,50000.0,0.3143368155863907,current_value,1.0
fixed_current,log_oscillatory,100,0.005,0.1,50000.0,0.3143368155863907,current_value,1.0
fixed_current,log_oscillatory,100,0.01,0.02,50000.0,0.3143368155863907,current_value,1.0
fixed_current,log_oscillatory,100,0.01,0.1,50000.0,0.3143368155863907,current_value,1.0
fixed_current,log_oscillatory,100,0.02,0.02,50000.0,0.3143368155863907,current_value,1.0
fixed_current,log_oscillatory,100,0.02,0.1,50000.0,0.3143368155863907,current_value,1.0
fixed_current,log_oscillatory,110,0.0,0.02,50000.0,0.4224871773479788,current_value,1.0
fixed_current,log_oscillatory,110,0.0,0.1,50000.0,0.4224871773479788,current_value,1.0
fixed_current,log_oscillatory,110,0.003,0.02,50000.0,0.4224871773479788,current_value,1.0
fixed_current,log_oscillatory,110,0.003,0.1,50000.0,0.4224871773479788,current_value,1.0
fixed_current,log_oscillatory,110,0.005,0.02,50000.0,0.4224871773479788,current_value,1.0
fixed_current,log_oscillatory,110,0.005,0.1,50000.0,0.4224871773479788,current_value,1.0
fixed_current,log_oscillatory,110,0.01,0.02,50000.0,0.4224871773479788,current_value,1.0
fixed_current,log_oscillatory,110,0.01,0.1,50000.0,0.4224871773479788,current_value,1.0
fixed_current,log_oscillatory,110,0.02,0.02,50000.0,0.4224871773479788,current_value,1.0
fixed_current,log_oscillatory,110,0.02,0.1,50000.0,0.4224871773479788,current_value,1.0
fixed_current,log_oscillatory,120,0.0,0.02,50000.0,0.4340556646869982,current_value,1.0
fixed_current,log_oscillatory,120,0.0,0.1,50000.0,0.4340556646869982,current_value,1.0
fixed_current,log_oscillatory,120,0.003,0.02,50000.0,0.4340556646869982,current_value,1.0
fixed_current,log_oscillatory,120,0.003,0.1,50000.0,0.4340556646869982,current_value,1.0
fixed_current,log_oscillatory,120,0.005,0.02,50000.0,0.4340556646869982,current_value,1.0
fixed_current,log_oscillatory,120,0.005,0.1,50000.0,0.4340556646869982,current_value,1.0
fixed_current,log_oscillatory,120,0.01,0.02,50000.0,0.4340556646869982,current_value,1.0
fixed_current,log_oscillatory,120,0.01,0.1,50000.0,0.4340556646869982,current_value,1.0
