selector,regime,target_g,mean_stability,n,n_capped_excluded
oracle,damped_osc_pow,0.02,1.3948,50,15
oracle,damped_osc_pow,0.1,1.3935,65,0
oracle,damped_osc_pow,0.5,1.3849,65,0
oracle,delayed_plateau,0.02,1.4,65,0
oracle,delayed_plateau,0.1,1.4,65,0
oracle,delayed_plateau,0.5,1.3991,65,0
oracle,four_exp,0.02,1.4,65,0
oracle,four_exp,0.1,1.4,65,0
oracle,four_exp,0.5,1.4,65,0
oracle,heavy_noise_plat,0.02,1.2662,65,0
oracle,heavy_noise_plat,0.1,1.2751,65,0
oracle,heavy_noise_plat,0.5,1.2877,65,0
oracle,log_oscillatory,0.5,1.3929,65,0
oracle,log_slow,0.5,1.3975,65,0
oracle,mixed_pow_rat,0.02,1.4,65,0
oracle,mixed_pow_rat,0.1,1.4,65,0
oracle,mixed_pow_rat,0.5,1.4,65,0
oracle,multiphase,0.02,1.4,65,0
oracle,multiphase,0.1,1.4,65,0
oracle,multiphase,0.5,1.4,65,0
oracle,noisy_plateau,0.02,1.2649,65,0
oracle,noisy_plateau,0.1,1.2862,65,0
oracle,noisy_plateau,0.5,1.2895,65,0
oracle,osc_exp,0.02,1.3434,65,0
oracle,osc_exp,0.1,1.3514,65,0
oracle,osc_exp,0.5,1.3489,65,0
oracle,power_law,0.02,1.3748,65,0
oracle,power_law,0.1,1.3772,65,0
oracle,power_law,0.5,1.3748,65,0
oracle,rational_decay,0.02,1.4,65,0
oracle,rational_decay,0.1,1.4,65,0
oracle,rational_decay,0.5,1.4,65,0
oracle,single_exp,0.02,1.3274,65,0
oracle,single_exp,0.1,1.3357,65,0
oracle,single_exp,0.5,1.3391,65,0
oracle,slow_osc_power,0.02,1.3606,65,0
oracle,slow_osc_power,0.1,1.3582,65,0
oracle,slow_osc_power,0.5,1.34,65,0
oracle,staircase,0.02,1.3997,65,0
oracle,staircase,0.1,1.3997,65,0
oracle,staircase,0.5,1.368,65,0
oracle,three_exp,0.02,1.4,65,0
oracle,three_exp,0.1,1.4,65,0
oracle,three_exp,0.5,1.3985,65,0
oracle,two_exp,0.02,1.3972,65,0
oracle,two_exp,0.1,1.3988,65,0
oracle,two_exp,0.5,1.3942,65,0
