assumed_mode,method,target_g,noise,regime_set,n_capped_excluded,valid_rate,cat_rate,med_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
winmin,log_linear,0.1,0.005,core,40,0.9156,0.0969,0.07828892127829212,1.0202635123918675,320,1.0116,0.1562,0.7969,0.8656,0.5059,0.8344,0.8421,0.875
winmin,log_linear,0.1,0.005,holdout,1,1.0,0.0,0.055387046386595626,1.035444319250079,119,1.0331,0.1176,0.7528,0.8571,0.3563,1.0,0.8417,0.8235
winmin,stability_weighted,0.1,0.005,core,40,1.0,0.0125,0.08670248304318362,1.3406150462247144,320,1.2522,0.2531,0.9801,0.5719,0.6758,0.85,1.028,0.3812
winmin,stability_weighted,0.1,0.005,holdout,1,1.0,0.0084,0.057378328213779306,1.2378110321169258,119,1.232,0.2353,0.8939,0.6807,0.4593,0.9748,1.0215,0.4622
winmin,median_ensemble,0.1,0.005,core,40,1.0,0.0063,0.09674452349628482,1.3674083140849511,320,1.287,0.1688,0.9939,0.5875,0.6988,0.8594,1.0434,0.2687
winmin,median_ensemble,0.1,0.005,holdout,1,1.0,0.0,0.07249191689134002,1.4017233591742269,119,1.3466,0.0756,0.9822,0.6723,0.5493,1.0,1.0566,0.1513
winmin,constant_assumed,0.1,0.005,core,40,1.0,0.0594,0.0488159305211571,1.0,320,1.0,0.0,0.793,0.8594,0.5018,0.875,0.8546,0.7969
winmin,constant_assumed,0.1,0.005,holdout,1,1.0,0.0,0.04780270483645391,1.0,119,1.0,0.0,0.7064,0.9832,0.3475,0.9916,0.8119,0.958
winmin,richardson_1,0.5,0.02,core,0,1.0,0.0694,0.019702938771370908,1.1909384545395882,360,0.7693,0.5722,0.4305,0.7861,0.2449,0.8639,0.6184,0.6556
winmin,richardson_1,0.5,0.02,holdout,0,1.0,0.025,0.013189253700988307,1.0032791154011684,120,0.7012,0.6083,0.3373,0.7333,0.177,0.9917,0.546,0.6667
winmin,richardson_2,0.5,0.02,core,0,1.0,0.0944,0.02000608654417063,1.2268663782442473,360,0.7712,0.575,0.4713,0.7861,0.2531,0.8333,0.6291,0.6667
winmin,richardson_2,0.5,0.02,holdout,0,1.0,0.025,0.013451783412079813,1.1701830109876334,120,0.6905,0.5667,0.3533,0.7167,0.1793,0.9667,0.5184,0.6583
winmin,richardson_3,0.5,0.02,core,0,0.9972,0.0833,0.02017096184179573,1.2294084824493194,360,0.7581,0.5833,0.4583,0.7722,0.2588,0.8278,0.5913,0.6556
winmin,richardson_3,0.5,0.02,holdout,0,1.0,0.0333,0.014481748950408546,1.4794412526907244,120,0.8008,0.5333,0.3559,0.6833,0.1864,0.9583,0.5489,0.6333
winmin,single_exp_fit,0.5,0.02,core,0,1.0,0.0361,0.023848393509681362,1.1850230985770234,360,0.8238,0.5611,0.5111,0.8028,0.3567,0.8611,0.6577,0.6472
winmin,single_exp_fit,0.5,0.02,holdout,0,1.0,0.0583,0.021225490137966617,1.6518152838608633,120,1.1679,0.4667,0.606,0.7167,0.2403,0.95,0.8516,0.55
winmin,double_exp_fit,0.5,0.02,core,0,0.9972,0.0417,0.02166653290883465,1.0341658298141898,360,0.694,0.6028,0.4386,0.8111,0.3572,0.875,0.6001,0.6694
winmin,double_exp_fit,0.5,0.02,holdout,0,1.0,0.0583,0.02067127223286852,1.5382986089491555,120,1.1139,0.475,0.6164,0.7167,0.2378,0.95,0.8474,0.5583
winmin,rational_fit,0.5,0.02,core,0,1.0,0.0417,0.01877580762751873,1.0253836506866163,360,0.6502,0.6444,0.3801,0.8139,0.2642,0.8472,0.4899,0.7028
winmin,rational_fit,0.5,0.02,holdout,0,1.0,0.0417,0.011549539670896109,1.1082161610755934,120,0.8089,0.5667,0.3584,0.7,0.1953,0.975,0.5163,0.6583
winmin,log_fit,0.5,0.02,core,0,1.0,0.0694,0.03899651072445166,2.043683792268757,360,1.5824,0.3944,0.7156,0.6083,0.5403,0.9278,1.1753,0.4472
winmin,log_fit,0.5,0.02,holdout,0,1.0,0.0917,0.040324737118137936,2.805109589039217,120,2.3216,0.3333,1.2057,0.4583,0.5443,0.9917,1.7653,0.35
winmin,log_linear,0.5,0.02,core,0,0.9333,0.1306,0.03564831796904827,1.4812350703266386,360,1.2526,0.3222,0.5905,0.7111,0.3474,0.8306,0.9046,0.5889
winmin,log_linear,0.5,0.02,holdout,0,0.925,0.075,0.02154155348204767,1.5911798974514706,120,1.3966,0.3667,0.5552,0.6667,0.255,0.9,0.9375,0.5167
