window_len,regime,is_holdout,target_g,noise,n_f,achieved_g,capped,precision,mean_gain,n
40,three_exp,0,0.5,0.02,176.0,0.49876789415554024,0,0.8,0.004028,20
40,four_exp,0,0.5,0.02,231.0,0.4980680166164721,0,0.5294,-0.005299,20
40,power_law,0,0.5,0.02,244.0,0.4999340482202355,0,0.5,0.00156,20
40,rational_decay,0,0.5,0.02,205.0,0.5,0,,0.0,20
40,mixed_pow_rat,0,0.5,0.02,254.0,0.4990202976120709,0,0.3571,-0.011148,20
40,multiphase,0,0.5,0.02,504.0,0.49983903719462197,0,0.4,-0.025447,20
40,osc_exp,0,0.5,0.02,107.0,0.47832942079368884,0,1.0,9e-05,20
40,damped_osc_pow,0,0.5,0.02,260.0,0.49940767513390516,0,0.55,-0.002822,20
40,log_slow,0,0.5,0.02,8594.0,0.49999975284240333,0,0.6,-0.023259,20
40,delayed_plateau,0,0.5,0.02,160.0,0.49658484551706805,0,,0.0,20
40,staircase,0,0.5,0.02,170.0,0.2777777777777778,0,,0.0,20
40,noisy_plateau,0,0.5,0.02,104.0,0.4965853037914094,0,0.5,4e-05,20
40,slow_osc_power,0,0.5,0.02,415.0,0.49840630355024784,0,0.2632,-0.009212,20
40,log_oscillatory,0,0.5,0.02,533.0,0.49841524754235217,0,0.85,0.003257,20
40,heavy_noise_plat,0,0.5,0.02,97.0,0.49658530379140886,0,0.6,0.002717,20
40,broken_power_law,0,0.5,0.02,514.0,0.49991211917454004,0,1.0,0.23989,20
40,stretched_exp,1,0.5,0.02,193.0,0.49828241532615414,0,0.4,0.000315,20
40,logistic_tail,1,0.5,0.02,105.0,0.47748855939048196,0,,0.0,20
40,inv_sqrt_log,1,0.5,0.02,245.0,0.4997783934707863,0,0.65,0.001137,20
40,random_knots,1,0.5,0.02,314.5,0.49936083587279756,0,0.25,-0.012008,20
40,real_boot_a,1,0.5,0.02,125.0,0.4970613452560541,0,0.4,-0.000659,20
40,real_boot_b,1,0.5,0.02,151.0,0.49684018628925675,0,0.0,-6.2e-05,20
40,single_exp,0,0.1,0.0,148.0,0.09827358560436156,0,,0.0,20
40,two_exp,0,0.1,0.0,218.0,0.09985826346226055,0,,0.0,20
40,three_exp,0,0.1,0.0,377.0,0.09988829507506856,0,,0.0,20
40,four_exp,0,0.1,0.0,631.0,0.09977805552230239,0,,0.0,20
40,power_law,0,0.1,0.0,2441.0,0.09997859122064488,0,0.0,-0.000447,20
40,rational_decay,0,0.1,0.0,1125.0,0.09999999999999999,0,,0.0,20
40,mixed_pow_rat,0,0.1,0.0,2260.0,0.09998848741275486,0,,0.0,20
40,multiphase,0,0.1,0.0,3852.0,0.0999996544626016,0,,0.0,20
40,osc_exp,0,0.1,0.0,165.0,0.09570953042125925,0,,0.0,20
40,damped_osc_pow,0,0.1,0.0,3014.0,0.09999319502597674,0,0.0,-0.000385,20
40,log_slow,0,0.1,0.0,50000.0,0.41863546463489004,1,0.0,-0.003596,20
40,delayed_plateau,0,0.1,0.0,321.0,0.09926115995627992,0,,0.0,20
40,staircase,0,0.1,0.0,320.0,0.0,0,,0.0,20
40,noisy_plateau,0,0.1,0.0,137.0,0.09536916221554956,0,0.35,-0.000171,20
40,slow_osc_power,0,0.1,0.0,3483.0,0.09996889692898078,0,,0.0,20
40,log_oscillatory,0,0.1,0.0,50000.0,0.2992564263745022,1,1.0,0.009161,20
40,heavy_noise_plat,0,0.1,0.0,114.0,0.09071795328941246,0,0.7,0.001346,20
40,broken_power_law,0,0.1,0.0,28776.0,0.09999962012267244,0,1.0,0.313914,20
40,stretched_exp,1,0.1,0.0,579.0,0.09979846505939677,0,,0.0,20
40,logistic_tail,1,0.1,0.0,135.0,0.09609894819901184,0,,0.0,20
40,inv_sqrt_log,1,0.1,0.0,2929.0,0.09999046875803731,0,0.0,-0.00047,20
40,random_knots,1,0.1,0.0,4730.0,0.09999546250252596,1,1.0,4.5e-05,20
40,real_boot_a,1,0.1,0.0,209.0,0.09859818176108498,0,,0.0,20
40,real_boot_b,1,0.1,0.0,335.0,0.09918842288666796,0,,0.0,20
40,single_exp,0,0.1,0.005,148.0,0.09827358560436156,0,,0.0,20
40,two_exp,0,0.1,0.005,218.0,0.09985826346226055,0,,0.0,20
40,three_exp,0,0.1,0.005,377.0,0.09988829507506856,0,,0.0,20
40,four_exp,0,0.1,0.005,631.0,0.09977805552230239,0,,0.0,20
40,power_law,0,0.1,0.005,2441.0,0.09997859122064488,0,0.3571,-0.0055,20
40,rational_decay,0,0.1,0.005,1125.0,0.09999999999999999,0,,0.0,20
40,mixed_pow_rat,0,0.1,0.005,2260.0,0.09998848741275486,0,,0.0,20
40,multiphase,0,0.1,0.005,3852.0,0.0999996544626016,0,,0.0,20
40,osc_exp,0,0.1,0.005,165.0,0.09570953042125925,0,,0.0,20
40,damped_osc_pow,0,0.1,0.005,3014.0,0.09999319502597674,0,1.0,0.000327,20
40,log_slow,0,0.1,0.005,50000.0,0.41863546463489004,1,0.0,-0.003692,20
40,delayed_plateau,0,0.1,0.005,321.0,0.09926115995627992,0,,0.0,20
40,staircase,0,0.1,0.005,320.0,0.0,0,,0.0,20
40,noisy_plateau,0,0.1,0.005,137.0,0.09536916221554956,0,0.45,3.9e-05,20
40,slow_osc_power,0,0.1,0.005,3483.0,0.09996889692898078,0,,0.0,20
40,log_oscillatory,0,0.1,0.005,50000.0,0.2992564263745022,1,0.95,0.007401,20
40,heavy_noise_plat,0,0.1,0.005,114.0,0.09071795328941246,0,0.65,0.001233,20
40,broken_power_law,0,0.1,0.005,28776.0,0.09999962012267244,0,1.0,0.313617,20
40,stretched_exp,1,0.1,0.005,579.0,0.09979846505939677,0,,0.0,20
40,logistic_tail,1,0.1,0.005,135.0,0.09609894819901184,0,,0.0,20
40,inv_sqrt_log,1,0.1,0.005,2929.0,0.09999046875803731,0,0.6,-0.008133,20
40,random_knots,1,0.1,0.005,4730.0,0.09999546250252596,1,0.5714,-0.000848,20
40,real_boot_a,1,0.1,0.005,209.0,0.09859818176108498,0,,0.0,20
40,real_boot_b,1,0.1,0.005,335.0,0.09918842288666796,0,,0.0,20
40,single_exp,0,0.1,0.02,148.0,0.09827358560436156,0,0.1667,-0.000657,20
40,two_exp,0,0.1,0.02,218.0,0.09985826346226055,0,,0.0,20
40,three_exp,0,0.1,0.02,377.0,0.09988829507506856,0,0.6,0.004588,20
