assumed_mode,method,target_g,regime_set,n_capped_excluded,valid_rate,cat_rate,med_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
half,double_exp_fit,0.1,core,120,0.9917,0.0229,0.026346360541237818,1.109256662090022,960,0.6756,0.6135,0.4767,0.8885,0.3613,0.901,0.4524,0.7948
half,double_exp_fit,0.1,holdout,3,0.9972,0.0224,0.02487722958590218,1.1975294787887845,357,0.8754,0.5406,0.5126,0.8824,0.3205,0.9748,0.592,0.7871
half,rational_fit,0.1,core,120,1.0,0.024,0.028951976959291713,1.2457221848126538,960,0.5762,0.6125,0.3344,0.851,0.21,0.8333,0.3193,0.7802
half,rational_fit,0.1,holdout,3,1.0,0.0084,0.011416427862867187,0.5248996349063894,357,0.3599,0.6919,0.2198,0.8179,0.1429,0.9804,0.2419,0.7647
half,log_fit,0.1,core,120,1.0,0.0271,0.06840894980235046,2.664698417770986,960,1.5415,0.4406,0.6613,0.675,0.5391,0.9083,0.7848,0.5896
half,log_fit,0.1,holdout,3,1.0,0.0028,0.05038851426514068,1.8974790765114016,357,1.0243,0.493,0.8501,0.5966,0.5426,0.9888,0.993,0.5042
half,log_linear,0.1,core,120,0.9062,0.1333,0.021537290560844906,0.8371024020712396,960,0.4578,0.7052,0.2885,0.7635,0.1867,0.7906,0.3026,0.7698
half,log_linear,0.1,holdout,3,0.9664,0.042,0.01890886633293065,0.7532482532866586,357,0.4526,0.7535,0.265,0.8431,0.1681,0.8908,0.3683,0.7843
half,stability_weighted,0.1,core,120,1.0,0.025,0.04538711581997626,2.2006992125003046,960,1.2724,0.4521,0.8515,0.6583,0.5652,0.8646,0.9997,0.5
half,stability_weighted,0.1,holdout,3,1.0,0.0168,0.030497014183639242,1.225432953342381,357,0.8017,0.5714,0.7123,0.7535,0.3362,0.9636,0.8725,0.5714
half,median_ensemble,0.1,core,120,1.0,0.0146,0.04567272967426278,2.014170421686882,960,1.1346,0.4625,0.9318,0.6781,0.6037,0.8823,1.0148,0.4469
