cat_mult,future_idx,method,stability,valid_rate,cat_rate,beats_rate
10.0,1000,pade_21,-1.0335,0.4194,0.7454,0.0944
10.0,1000,pade_22,0.842,0.9546,0.1444,0.4407
10.0,1000,pade_23,1.2613,0.9991,0.0213,0.762
10.0,1000,pade_31,-0.9189,0.8167,0.8722,0.0222
10.0,1000,pade_32,-1.0133,0.4648,0.762,0.1148
10.0,1000,rational_fit,1.3444,1.0,0.0111,0.9167
10.0,1000,richardson_1,1.3285,1.0,0.0111,0.8769
10.0,1000,richardson_2,1.2798,0.9991,0.0278,0.8407
10.0,1000,richardson_3,1.2169,0.9898,0.0491,0.813
10.0,1000,richardson_a05,1.2078,1.0,0.037,0.7046
10.0,1000,richardson_a10,1.2811,1.0,0.0139,0.7722
10.0,1000,richardson_a20,1.2785,1.0,0.0056,0.7241
10.0,1000,shanks_1,1.2094,0.9991,0.0102,0.5769
10.0,1000,shanks_2,1.1676,0.9991,0.0148,0.4954
10.0,1000,shanks_3,1.1719,1.0,0.0148,0.5037
10.0,1000,shanks_4,1.0993,0.9796,0.0352,0.475
10.0,1000,single_exp_fit,1.3378,1.0,0.0111,0.9
10.0,1000,stability_weighted,1.2352,1.0,0.0139,0.6574
10.0,1000,weniger_d1,1.1411,0.9667,0.0565,0.7185
10.0,1000,weniger_d2,1.1324,0.9639,0.0593,0.7176
10.0,1000,wynn_eps_1,1.1456,0.9778,0.0315,0.5769
10.0,1000,wynn_eps_2,1.0594,0.9583,0.0556,0.5306
10.0,1000,wynn_eps_3,1.0719,0.9574,0.0528,0.55
10.0,1000,wynn_rho_1,1.1024,0.9769,0.0324,0.4759
10.0,1000,wynn_rho_2,1.082,0.9731,0.0407,0.4759
10.0,1000,wynn_rho_3,1.0765,0.9731,0.0426,0.4713
10.0,5000,anderson_1,1.2148,1.0,0.0083,0.5787
10.0,5000,anderson_2,1.2263,1.0,0.0037,0.5843
10.0,5000,anderson_3,1.2289,1.0,0.0037,0.5907
10.0,5000,best_shanks_wynn,1.2122,1.0,0.0093,0.5769
10.0,5000,brezinski_theta1,1.1656,0.9981,0.025,0.5435
10.0,5000,brezinski_theta2,1.0122,0.9722,0.0704,0.4519
