L_inf_assumed,regime,future_idx,noise,precision,mean_gain,n
0.05,four_exp,1000,0.0,,0.0,20
0.05,power_law,1000,0.0,,0.0,20
0.05,rational_decay,1000,0.0,,0.0,20
0.05,mixed_pow_rat,1000,0.0,,0.0,20
0.05,multiphase,1000,0.0,,0.0,20
0.05,osc_exp,1000,0.0,,0.0,20
0.05,damped_osc_pow,1000,0.0,,0.0,20
0.05,log_slow,1000,0.0,,0.0,20
0.05,delayed_plateau,1000,0.0,,0.0,20
0.05,staircase,1000,0.0,,0.0,20
0.05,noisy_plateau,1000,0.0,0.25,-0.000938,20
0.05,slow_osc_power,1000,0.0,,0.0,20
0.05,log_oscillatory,1000,0.0,0.0,-0.048352,20
0.05,heavy_noise_plat,1000,0.0,0.4,-0.000508,20
0.05,broken_power_law,1000,0.0,1.0,0.387459,20
0.05,single_exp,1000,0.005,,0.0,20
0.05,two_exp,1000,0.005,,0.0,20
0.05,three_exp,1000,0.005,,0.0,20
0.05,four_exp,1000,0.005,,0.0,20
0.05,power_law,1000,0.005,,0.0,20
0.05,rational_decay,1000,0.005,,0.0,20
0.05,mixed_pow_rat,1000,0.005,,0.0,20
0.05,multiphase,1000,0.005,,0.0,20
0.05,osc_exp,1000,0.005,,0.0,20
0.05,damped_osc_pow,1000,0.005,,0.0,20
0.05,log_slow,1000,0.005,,0.0,20
0.05,delayed_plateau,1000,0.005,,0.0,20
0.05,staircase,1000,0.005,,0.0,20
0.05,noisy_plateau,1000,0.005,0.15,-0.001304,20
0.05,slow_osc_power,1000,0.005,,0.0,20
0.05,log_oscillatory,1000,0.005,0.0,-0.049068,20
0.05,heavy_noise_plat,1000,0.005,0.25,-0.000571,20
0.05,broken_power_law,1000,0.005,1.0,0.387496,20
0.05,single_exp,1000,0.02,,0.0,20
0.05,two_exp,1000,0.02,,0.0,20
0.05,three_exp,1000,0.02,,0.0,20
0.05,four_exp,1000,0.02,,0.0,20
0.05,power_law,1000,0.02,0.5,0.001448,20
0.05,rational_decay,1000,0.02,,0.0,20
0.05,mixed_pow_rat,1000,0.02,,0.0,20
0.05,multiphase,1000,0.02,,0.0,20
0.05,osc_exp,1000,0.02,,0.0,20
0.05,damped_osc_pow,1000,0.02,0.25,-0.004033,20
0.05,log_slow,1000,0.02,0.4444,-0.013553,20
0.05,delayed_plateau,1000,0.02,,0.0,20
0.05,staircase,1000,0.02,,0.0,20
0.05,noisy_plateau,1000,0.02,0.2,-0.001334,20
0.05,slow_osc_power,1000,0.02,0.0714,-0.000589,20
0.05,log_oscillatory,1000,0.02,0.0,-0.038016,20
0.05,heavy_noise_plat,1000,0.02,0.7,0.002255,20
0.05,broken_power_law,1000,0.02,1.0,0.392511,20
0.05,single_exp,5000,0.0,,0.0,20
0.05,two_exp,5000,0.0,,0.0,20
0.05,three_exp,5000,0.0,,0.0,20
0.05,four_exp,5000,0.0,,0.0,20
0.05,power_law,5000,0.0,,0.0,20
0.05,rational_decay,5000,0.0,,0.0,20
