dataset,obs_depth,target_round,selected_method,cascade_pred,true_val,cascade_err,richardson_err,rational_err,current_err,ref_error,ref_best_method,cascade_skill,improvement,perturb_iqr,L_hat,assumed_mode,nearest_regime,log_log_slope,curvature_idx,oscillation_idx,noise_var,richardson_r2,diff_ratio_cv,phase2_features_path,phase2_features_rows,git_head
higgs,120,400,rational_fit,0.5288663997481085,0.530932187092263,0.002065787344154524,0.002759741244588776,0.002065787344154524,0.011978463803749007,0.011978463803749007,last_value,0.17245845360470813,0.8275415463952919,0.009921891778330028,0.0,zero,multiphase,-0.04668917005338989,0.004736597445291769,0.0,1.1361465488849625e-08,0.9892788264196567,0.00025765890406479754,results\phase2\phase2_features.csv,23400,0375f24
higgs,120,500,rational_fit,0.5276215339871309,0.5300865883045046,0.0024650543173737605,0.0033361858533526023,0.0024650543173737605,0.012824062591507368,0.012824062591507368,last_value,0.19222101418985765,0.8077789858101424,0.011125079277849004,0.0,zero,multiphase,-0.04668917005338989,0.004736597445291769,0.0,1.1361465488849625e-08,0.9892788264196567,0.00025765890406479754,results\phase2\phase2_features.csv,23400,0375f24
higgs,150,300,rational_fit,0.5321591195951102,0.5329168250571038,0.0007577054619936074,0.00021060048355137084,0.0007577054619936074,0.006599277763236544,0.006599277763236544,last_value,0.1148164222173911,0.8851835777826089,0.0015853376751839843,0.0,zero,multiphase,-0.03377481397464368,0.00630789454026818,0.0,5.5478332795721115e-09,0.7617836114685357,0.00014174884197315369,results\phase2\phase2_features.csv,23400,0375f24
higgs,150,400,rational_fit,0.5303420521211729,0.530932187092263,0.0005901349710900616,0.000782129067746995,0.0005901349710900616,0.008583915728077374,0.008583915728077374,last_value,0.06874892412559136,0.9312510758744087,0.001743873713571653,0.0,zero,multiphase,-0.03377481397464368,0.00630789454026818,0.0,5.5478332795721115e-09,0.7617836114685357,0.00014174884197315369,results\phase2\phase2_features.csv,23400,0375f24
higgs,150,500,rational_fit,0.5292502201372397,0.5300865883045046,0.0008363681672649559,0.0008265359353476498,0.0008363681672649559,0.009429514515835735,0.009429514515835735,last_value,0.08869684286082556,0.9113031571391744,0.0018393340631582822,0.0,zero,multiphase,-0.03377481397464368,0.00630789454026818,0.0,5.5478332795721115e-09,0.7617836114685357,0.00014174884197315369,results\phase2\phase2_features.csv,23400,0375f24
adult,30,300,richardson_1,0.24933851416399955,0.2718139946260366,0.022475480462037067,0.022475480462037067,0.0372261823060763,0.062277916326603566,0.062277916326603566,last_value,0.36089005200766655,0.6391099479923334,0.0014781141225838068,0.0,zero,rational_decay,-0.15563186364750867,0.0040637372070444315,0.0,1.1015025638163765e-06,0.9416262606087993,0.007210159295663678,results\phase2\phase2_features.csv,23400,0375f24
adult,30,400,richardson_1,0.239095713463631,0.272113009811212,0.03301729634758099,0.03301729634758099,0.041600401058822484,0.06197890114142818,0.06197890114142818,last_value,0.5327183241316203,0.4672816758683796,0.0015347028673343421,0.0,zero,rational_decay,-0.15563186364750867,0.0040637372070444315,0.0,1.1015025638163765e-06,0.9416262606087993,0.007210159295663678,results\phase2\phase2_features.csv,23400,0375f24
adult,30,500,richardson_1,0.23144144893885832,0.2729784847967337,0.04153703585787538,0.04153703585787538,0.0449621395685767,0.06111342615590648,0.06111342615590648,last_value,0.679671202722463,0.32032879727753705,0.0016225639200703745,0.0,zero,rational_decay,-0.15563186364750867,0.0040637372070444315,0.0,1.1015025638163765e-06,0.9416262606087993,0.007210159295663678,results\phase2\phase2_features.csv,23400,0375f24
adult,60,300,richardson_1,0.23201430631787,0.2718139946260366,0.0397996883081666,0.0397996883081666,0.02291807274709126,0.026008669717169197,0.026008669717169197,last_value,1.5302469807555552,-0.5302469807555552,0.0004557514084869707,0.0,zero,rational_decay,-0.17297699247905665,0.001955904457695719,0.0,5.919849330990672e-07,0.9612731479813429,0.007888885940542238,results\phase2\phase2_features.csv,23400,0375f24
adult,60,400,richardson_1,0.22136329172556013,0.272113009811212,0.050749718085651874,0.050749718085651874,0.026643568549137714,0.02570965453199381,0.02570965453199381,last_value,1.973955660216963,-0.973955660216963,0.00041948406567282603,0.0,zero,rational_decay,-0.17297699247905665,0.001955904457695719,0.0,5.919849330990672e-07,0.9612731479813429,0.007888885940542238,results\phase2\phase2_features.csv,23400,0375f24
