round,covertype,higgs,adult,jannis,miniboone,bank_marketing
145,0.4682146255696083,0.5399121615617294,0.27665101216070603,0.7087825393535182,0.15309026155349514,0.20113864974526088
146,0.4676891534920868,0.5398163684480907,0.27652095366004414,0.7085143202674046,0.15292993253038625,0.20116237739925114
147,0.46714678527698444,0.5396398879046239,0.27637130567955653,0.7083135948575042,0.15284049247117107,0.20104483551693145
148,0.4666252271650091,0.5395646551283422,0.27632799811936,0.7081153295923801,0.15268628407940274,0.20094855404280898
149,0.46615127805538137,0.5395161028203403,0.2761707124962399,0.7078388220243087,0.15252695127662655,0.2009866396158772
150,0.46561427229911156,0.5394116489775669,0.2760535999248929,0.7076628362194826,0.1523242426802521,0.20101916130589706
151,0.46516574342179356,0.5393299066297774,0.27592887541225025,0.7074594703967753,0.15214804743832192,0.200985345205854
152,0.46472428129114435,0.5392751578704161,0.27583291683280514,0.7071823678023342,0.15198688167440827,0.20076024356355643
153,0.4641531670452072,0.5392061296038326,0.27578416835964265,0.7069094907594168,0.1519320393741342,0.20045795083954265
154,0.4635409733554271,0.5391205094182414,0.2756354828196024,0.7066820786463481,0.15177249394478073,0.2003932152871292
155,0.4632370708406234,0.5389672189035293,0.2755296407952072,0.7064588090584827,0.1515681219837483,0.20039525730216254
156,0.4629267247550782,0.5389352110857576,0.27542469138454734,0.7063146761406731,0.15140305252914413,0.20037556370916665
157,0.46266345707282974,0.5388849588298162,0.2753034257324459,0.7061436702130269,0.15114690043913467,0.20035122525708063
158,0.4618592361229275,0.5388712645995619,0.27527183030964547,0.7059678330046465,0.15107718819565055,0.20031945452123212
159,0.46146798778118736,0.5388110224727953,0.2751611127092306,0.7057758892754041,0.1509071976587648,0.20029258830714977
160,0.46099844130623546,0.5387838694145395,0.2751411003094983,0.7055750501910132,0.1508043687603454,0.20025630278265882
161,0.4606000376133709,0.5387939721635604,0.2750838239359155,0.7053102745127947,0.15061733021017124,0.20026330923114324
162,0.4600602005136583,0.5386440912741751,0.27500296519245887,0.7051238764553931,0.15049820178759984,0.20030373111535676
163,0.45976849586644286,0.5385641929871616,0.2750034725729625,0.7049821553419103,0.1504296542472177,0.20017591605244323
164,0.45927450305961875,0.5385174501571407,0.27492529437519614,0.704784158729718,0.15034732620086996,0.20005933622177946
165,0.45825778079804047,0.5384742492529213,0.274850248971203,0.70468572015852,0.150241046386073,0.20003086819744884
166,0.4577772366700484,0.5383981782061554,0.274817664133486,0.7043906720188459,0.15013369888631928,0.20002081079182685
167,0.4574430487165988,0.5383319508207868,0.274754821105597,0.704223776511939,0.15005401413052044,0.19983847589415038
168,0.45691105915251784,0.5382063693738809,0.2745678482866021,0.7041378673860343,0.14994866128868012,0.19972272203792873
169,0.45644791285128666,0.5381755048872153,0.27454858562613865,0.7040391503680581,0.14987290378278975,0.19976021427180085
170,0.45618172896897535,0.5381621534605584,0.274465495602571,0.7039787761533017,0.149636075977376,0.19966594016685926
171,0.4556865742095144,0.5380202781849278,0.27444222815786706,0.7039150310227149,0.1494910502854818,0.19967141948903558
172,0.45510778497826415,0.537956346656979,0.27446200734244786,0.703845600537528,0.14944944404291025,0.1996366708645324
173,0.454855781349926,0.5379266237068783,0.2744199209924969,0.703766132592968,0.14936466636921608,0.19955385008173043
