method,obs_idx,noise,valid_rate,n,is_trivial,is_oracle,is_dangerous
log_fit,120,0.0,1.0,1440,0,0,0
log_fit,120,0.005,1.0,1440,0,0,0
log_fit,120,0.02,1.0,1440,0,0,0
log_linear,30,0.0,0.9979,1440,0,0,0
log_linear,30,0.005,0.9958,1440,0,0,0
log_linear,30,0.02,0.9792,1440,0,0,0
log_linear,60,0.0,0.9917,1440,0,0,0
log_linear,60,0.005,0.9833,1440,0,0,0
log_linear,60,0.02,0.9604,1440,0,0,0
log_linear,90,0.0,0.9694,1440,0,0,0
log_linear,90,0.005,0.9708,1440,0,0,0
log_linear,90,0.02,0.9278,1440,0,0,0
log_linear,120,0.0,0.9875,1440,0,0,0
log_linear,120,0.005,0.9833,1440,0,0,0
log_linear,120,0.02,0.8979,1440,0,0,0
median_ensemble,30,0.0,1.0,1440,0,0,0
median_ensemble,30,0.005,1.0,1440,0,0,0
median_ensemble,30,0.02,1.0,1440,0,0,0
median_ensemble,60,0.0,1.0,1440,0,0,0
median_ensemble,60,0.005,1.0,1440,0,0,0
median_ensemble,60,0.02,1.0,1440,0,0,0
median_ensemble,90,0.0,1.0,1440,0,0,0
median_ensemble,90,0.005,1.0,1440,0,0,0
median_ensemble,90,0.02,1.0,1440,0,0,0
median_ensemble,120,0.0,1.0,1440,0,0,0
median_ensemble,120,0.005,1.0,1440,0,0,0
median_ensemble,120,0.02,1.0,1440,0,0,0
neville_2,30,0.0,0.9771,1440,0,0,1
neville_2,30,0.005,0.6312,1440,0,0,1
neville_2,30,0.02,0.5146,1440,0,0,1
neville_2,60,0.0,0.9354,1440,0,0,1
neville_2,60,0.005,0.5604,1440,0,0,1
neville_2,60,0.02,0.5507,1440,0,0,1
neville_2,90,0.0,0.8938,1440,0,0,1
neville_2,90,0.005,0.5222,1440,0,0,1
neville_2,90,0.02,0.4806,1440,0,0,1
neville_2,120,0.0,0.9757,1440,0,0,1
neville_2,120,0.005,0.5389,1440,0,0,1
neville_2,120,0.02,0.5076,1440,0,0,1
neville_3,30,0.0,0.9375,1440,0,0,1
neville_3,30,0.005,0.5312,1440,0,0,1
neville_3,30,0.02,0.475,1440,0,0,1
neville_3,60,0.0,0.8965,1440,0,0,1
neville_3,60,0.005,0.384,1440,0,0,1
neville_3,60,0.02,0.1896,1440,0,0,1
neville_3,90,0.0,0.866,1440,0,0,1
neville_3,90,0.005,0.2264,1440,0,0,1
neville_3,90,0.02,0.1174,1440,0,0,1
neville_3,120,0.0,0.9042,1440,0,0,1
neville_3,120,0.005,0.2083,1440,0,0,1
neville_3,120,0.02,0.1271,1440,0,0,1
neville_4,30,0.0,0.9292,1440,0,0,1
neville_4,30,0.005,0.3264,1440,0,0,1
neville_4,30,0.02,0.1646,1440,0,0,1
neville_4,60,0.0,0.8618,1440,0,0,1
neville_4,60,0.005,0.0882,1440,0,0,1
neville_4,60,0.02,0.0576,1440,0,0,1
neville_4,90,0.0,0.8674,1440,0,0,1
neville_4,90,0.005,0.0604,1440,0,0,1
