regime,is_holdout,target_g,n_capped_excluded,selector,is_trivial,is_oracle,mean_error,median_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
damped_osc_pow,0,0.1,0,equal_ensemble_9,0,0,0.044382,0.036179,1.6232,240,1.2496,0.45,0.6073,0.8292,0.3559,1.0,0.9739,0.5458
damped_osc_pow,0,0.1,0,phase2_cascade,0,0,0.019495,0.009863,0.3695,240,0.285,0.925,0.1482,0.9333,0.091,0.9833,0.1998,0.8333
damped_osc_pow,0,0.1,0,fixed_rational,0,0,0.030046,0.032329,0.9879,240,0.8107,0.6375,0.4537,0.9542,0.2284,0.9792,0.5274,0.8333
damped_osc_pow,0,0.1,0,fixed_richardson,0,0,0.018312,0.009017,0.3579,240,0.2575,0.9208,0.1372,0.95,0.0701,0.9917,0.1724,0.8375
damped_osc_pow,0,0.1,0,current_value,0,0,0.063307,0.057503,2.6906,240,2.1445,0.2875,1.0,0.0,0.5344,0.95,1.0177,0.0
damped_osc_pow,0,0.1,0,constant_assumed,1,0,0.083417,0.030612,1.0,240,1.0,0.0,0.4663,0.7125,0.2802,0.7792,0.6372,0.6208
damped_osc_pow,0,0.1,0,constant_oracle,1,1,0.007168,0.006406,0.3198,240,0.246,1.0,0.1111,1.0,0.0649,1.0,0.1219,0.9708
damped_osc_pow,0,0.1,0,window_mean,1,0,0.117317,0.108348,4.6478,240,3.569,0.2208,1.8713,0.05,1.0,0.0,2.1184,0.0
damped_osc_pow,0,0.1,0,window_min,1,0,0.052911,0.050149,1.5694,240,1.5694,0.3792,0.9826,0.5375,0.4721,1.0,1.0,0.0
damped_osc_pow,0,0.1,0,last_value,1,0,0.063307,0.057503,2.6906,240,2.1445,0.2875,1.0,0.0,0.5344,0.95,1.0177,0.0
damped_osc_pow,0,0.5,0,oracle_49,0,0,0.001093,0.000695,0.0193,240,0.0089,1.0,0.0138,0.9958,0.0055,1.0,0.0192,0.9917
damped_osc_pow,0,0.5,0,oracle_9,0,0,0.003125,0.001947,0.0621,240,0.028,1.0,0.0509,0.9833,0.0185,1.0,0.0581,0.9708
damped_osc_pow,0,0.5,0,threshold_ens_010,0,0,0.023229,0.023459,1.0896,240,0.253,0.9667,0.8209,0.7458,0.3165,0.9958,1.089,0.4042
damped_osc_pow,0,0.5,0,threshold_ens_050,0,0,0.023127,0.023219,1.0932,240,0.2527,0.9667,0.8208,0.75,0.3154,0.9958,1.0906,0.4083
damped_osc_pow,0,0.5,0,threshold_ens_safe,0,0,0.023153,0.023042,1.0947,240,0.2526,0.9667,0.8252,0.75,0.3154,0.9917,1.0921,0.4083
damped_osc_pow,0,0.5,0,capped_diag_49,0,0,0.019439,0.013108,0.7332,240,0.1499,0.975,0.486,0.8625,0.232,0.9875,0.6476,0.7083
damped_osc_pow,0,0.5,0,capped_diag_safe,0,0,0.019331,0.018432,0.8426,240,0.1973,0.9875,0.6387,0.8458,0.2409,0.9875,0.8238,0.6292
damped_osc_pow,0,0.5,0,diag_ensemble_49,0,0,0.019439,0.013108,0.7332,240,0.1499,0.975,0.486,0.8625,0.232,0.9875,0.6476,0.7083
damped_osc_pow,0,0.5,0,diag_ensemble_safe,0,0,0.019331,0.018432,0.8426,240,0.1973,0.9875,0.6387,0.8458,0.2409,0.9875,0.8238,0.6292
damped_osc_pow,0,0.5,0,equal_ensemble_49,0,0,0.022893,0.022693,1.0873,240,0.2669,0.9708,0.7973,0.7458,0.3143,1.0,1.0841,0.4
damped_osc_pow,0,0.5,0,equal_ensemble_safe,0,0,0.023153,0.023042,1.0947,240,0.2526,0.9667,0.8252,0.75,0.3154,0.9917,1.0921,0.4083
damped_osc_pow,0,0.5,0,diag_ensemble_9,0,0,0.021864,0.022116,0.7419,240,0.309,1.0,0.6126,0.8917,0.2252,0.9917,0.74,0.6792
damped_osc_pow,0,0.5,0,equal_ensemble_9,0,0,0.021006,0.018472,0.7863,240,0.2323,0.9917,0.5088,0.8208,0.2093,1.0,0.7418,0.5917
damped_osc_pow,0,0.5,0,phase2_cascade,0,0,0.008625,0.007106,0.2457,240,0.0857,1.0,0.1997,0.9417,0.0712,1.0,0.2457,0.8917
damped_osc_pow,0,0.5,0,fixed_rational,0,0,0.013334,0.015208,0.4464,240,0.1895,1.0,0.3716,0.9208,0.137,1.0,0.44,0.8375
damped_osc_pow,0,0.5,0,fixed_richardson,0,0,0.008441,0.007065,0.2506,240,0.0857,1.0,0.2059,0.9625,0.072,1.0,0.2444,0.8917
damped_osc_pow,0,0.5,0,current_value,0,0,0.034985,0.032712,1.0,240,0.5434,0.95,1.0,0.0,0.4019,0.95,1.0,0.0417
damped_osc_pow,0,0.5,0,constant_assumed,1,0,0.112036,0.062293,2.6533,240,1.0,0.0,1.8404,0.05,0.8711,0.5833,2.5588,0.0
damped_osc_pow,0,0.5,0,constant_oracle,1,1,0.035787,0.031963,1.1689,240,0.6197,1.0,0.9976,0.6417,0.4405,1.0,1.139,0.3958
damped_osc_pow,0,0.5,0,window_mean,1,0,0.088697,0.082791,2.9194,240,1.1479,0.4167,2.488,0.05,1.0,0.0,2.8137,0.0083
damped_osc_pow,0,0.5,0,window_min,1,0,0.028087,0.025216,1.0,240,0.3908,1.0,1.0,0.4958,0.3554,0.9917,1.0,0.0
damped_osc_pow,0,0.5,0,last_value,1,0,0.034985,0.032712,1.0,240,0.5434,0.95,1.0,0.0,0.4019,0.95,1.0,0.0417
delayed_plateau,0,0.02,0,oracle_49,0,0,0.013705,0.004604,0.1792,240,0.1792,0.8833,0.0168,1.0,0.0115,1.0,0.017,1.0
delayed_plateau,0,0.02,0,oracle_9,0,0,0.092506,0.026982,0.9466,240,0.9466,0.5042,0.1127,1.0,0.0772,1.0,0.1151,1.0
delayed_plateau,0,0.02,0,threshold_ens_010,0,0,0.261369,0.244411,8.2774,240,8.2774,0.1875,0.9864,0.7583,0.7,1.0,1.0056,0.4542
delayed_plateau,0,0.02,0,threshold_ens_050,0,0,0.260906,0.244411,8.0872,240,8.0872,0.1875,0.9864,0.7542,0.7003,1.0,1.004,0.4542
delayed_plateau,0,0.02,0,threshold_ens_safe,0,0,0.260999,0.244411,8.0872,240,8.0872,0.1875,0.9864,0.7542,0.7003,1.0,1.004,0.4542
delayed_plateau,0,0.02,0,capped_diag_49,0,0,0.241657,0.219149,7.7166,240,7.7166,0.075,0.7851,0.9875,0.5569,0.9958,0.8304,0.9708
delayed_plateau,0,0.02,0,capped_diag_safe,0,0,0.236628,0.209565,7.6287,240,7.6287,0.0792,0.7532,0.9917,0.5378,0.9958,0.8031,0.9792
delayed_plateau,0,0.02,0,diag_ensemble_49,0,0,0.241657,0.219149,7.7166,240,7.7166,0.075,0.7851,0.9875,0.5569,0.9958,0.8304,0.9708
delayed_plateau,0,0.02,0,diag_ensemble_safe,0,0,0.236628,0.209565,7.6287,240,7.6287,0.0792,0.7532,0.9917,0.5378,0.9958,0.8031,0.9792
